Entry Date (date of delivery),Region,Destination,Arrived (D)
29-Oct-21,Asia and the Pacific,Indonesia,
30-Oct-21,Asia and the Pacific,Pakistan,
1-Nov-21,Asia and the Pacific,Cambodia,
1-Nov-21,Asia and the Pacific,Indonesia,
2-Nov-21,Asia and the Pacific,Pakistan,
2-Nov-21,Asia and the Pacific,Philippines,
3-Nov-21,Asia and the Pacific,Pakistan,
3-Nov-21,Asia and the Pacific,Nepal,1.6
3-Nov-21,Asia and the Pacific,Armenia,
5-Nov-21,Asia and the Pacific,Pakistan,0.2
5-Nov-21,Asia and the Pacific,Pakistan,
7-Nov-21,Asia and the Pacific,Myanmar,
8-Nov-21,Asia and the Pacific,Nepal,0.3
9-Nov-21,Asia and the Pacific,Indonesia,
10-Nov-21,Asia and the Pacific,Philippines,
11-Nov-21,Asia and the Pacific,Philippines,
12-Nov-21,Asia and the Pacific,Indonesia,
12-Nov-21,Asia and the Pacific,Myanmar,1
12-Nov-21,Asia and the Pacific,Thailand,1.5
13-Nov-21,Asia and the Pacific,Indonesia,
13-Nov-21,Asia and the Pacific,Malaysia,
16-Nov-21,Asia and the Pacific,Cambodia,
17-Nov-21,Asia and the Pacific,Cambodia,2
20-Nov-21,Asia and the Pacific,Myanmar,1
21-Nov-21,Asia and the Pacific,Laos,1.9
21-Nov-21,Asia and the Pacific,Myanmar,1
23-Nov-21,Asia and the Pacific,Malaysia,
25-Nov-21,Asia and the Pacific,Bangladesh,
29-Nov-21,Asia and the Pacific,Indonesia,
30-Nov-21,Asia and the Pacific,Indonesia,
1-Dec-21,Asia and the Pacific,Indonesia,
1-Dec-21,Asia and the Pacific,Malaysia,
2-Dec-21,Asia and the Pacific,Cambodia,
2-Dec-21,Asia and the Pacific,Malaysia,
2-Dec-21,Asia and the Pacific,Vietnam,
5-Dec-21,Asia and the Pacific,Malaysia,2
5-Dec-21,Asia and the Pacific,Afghanistan,1
9-Dec-21,Asia and the Pacific,Uzbekistan,
10-Dec-21,Asia and the Pacific,Thailand,0.2
12-Dec-21,Asia and the Pacific,Uzbekistan,
14-Dec-21,Asia and the Pacific,Kyrgyzstan,1.5
14-Dec-21,Asia and the Pacific,Philippines,2
15-Dec-21,Asia and the Pacific,Pakistan,
15-Dec-21,Asia and the Pacific,Myanmar,
20-Dec-21,Asia and the Pacific,Nepal,
21-Dec-21,Asia and the Pacific,Bangladesh,
21-Dec-21,Asia and the Pacific,Indonesia,2
23-Dec-21,Asia and the Pacific,Myanmar,
23-Dec-21,Asia and the Pacific,Myanmar,1
28-Dec-21,Asia and the Pacific,Pakistan,
30-Dec-21,Asia and the Pacific,Pakistan,
8-Jan-22,Asia and the Pacific,Thailand,0.5
11-Jan-22,Asia and the Pacific,Myanmar,0.74
25-Jan-22,Asia and the Pacific,Philippines,
25-Jan-22,Asia and the Pacific,Laos,1.5
26-Jan-22,Asia and the Pacific,Solomon Islands,0.5
4-Feb-22,Asia and the Pacific,Thailand,0.1
7-Feb-22,Asia and the Pacific,Turkmenistan,
14-Feb-22,Asia and the Pacific,Laos,0.4
17-Feb-22,Asia and the Pacific,Malaysia,
2-Mar-22,Asia and the Pacific,Uzbekistan,
21-Mar-22,Asia and the Pacific,Cambodia,
26-Mar-22,Asia and the Pacific,Nepal,
26-Mar-22,Asia and the Pacific,Nepal,3.44336
29-Mar-22,Asia and the Pacific,Cambodia,1.5
29-Mar-22,Asia and the Pacific,Timor Leste,0.1
29-Mar-22,Asia and the Pacific,Nepal,0.55664
30-Mar-22,Asia and the Pacific,Cambodia,3.5
6-Apr-22,Asia and the Pacific,Myanmar,
8-Apr-22,Asia and the Pacific,Vietnam,3.5
13-Apr-22,Asia and the Pacific,Philippines,0.025
18-May-22,Asia and the Pacific,Myanmar,5
29-May-22,Asia and the Pacific,Myanmar,5
29-May-22,Asia and the Pacific,Uzbekistan,
1-Jun-22,Asia and the Pacific,Democratic People's Republic of Korea,
2-Jun-22,Asia and the Pacific,Democratic People's Republic of Korea,
1-Jul-22,Asia and the Pacific,ASEAN,2
11-Sep-22,Asia and the Pacific,Myanmar,2
13-Dec-22,Asia and the Pacific,Cambodia,0.3
,Asia and the Pacific,Myanmar,
,Asia and the Pacific,Sri Lanka,
,Asia and the Pacific,Turkmenistan,
,Asia and the Pacific,Sri Lanka,
,Asia and the Pacific,Sri Lanka,
,Asia and the Pacific,Malaysia,
,Asia and the Pacific,Indonesia,
,Asia and the Pacific,Cambodia (military),
,Asia and the Pacific,Bangladesh,
,Asia and the Pacific,Bangladesh,
,Asia and the Pacific,Pakistan,
,Asia and the Pacific,Pakistan,
,Asia and the Pacific,Malaysia,
,Asia and the Pacific,Pakistan,
,Asia and the Pacific,Nepal,
9-Dec-20,Africa,Morocco,
27-Jan-21,Africa,Morocco,
5-Feb-21,Africa,Congo,
10-Feb-21,Africa,Zimbabwe,
11-Feb-21,Africa,Equatorial Guinea,0.1
15-Feb-21,Africa,Zimbabwe,0.2
16-Feb-21,Africa,Morocco,
23-Feb-21,Africa,Senegal,
23-Feb-21,Africa,Uganda,
24-Feb-21,Africa,Zimbabwe,
25-Feb-21,Africa,Mozambique,0.2
25-Feb-21,Africa,Algeria,0.2
26-Feb-21,Africa,Sierra Leone,0.2
8-Mar-21,Africa,Morocco,
11-Mar-21,Africa,Congo,0.1
15-Mar-21,Africa,Gabon,0.1
16-Mar-21,Africa,Namibia,
16-Mar-21,Africa,Zimbabwe,0.2
16-Mar-21,Africa,Zimbabwe,
17-Mar-21,Africa,Namibia,0.1
17-Mar-21,Africa,Zimbabwe,
18-Mar-21,Africa,Djibouti,0.2
18-Mar-21,Africa,Comoros,0.1
19-Mar-21,Africa,Djibouti,-
21-Mar-21,Africa,Guinea,0.2
21-Mar-21,Africa,Benin,0.1
22-Mar-21,Africa,Niger,0.4
24-Mar-21,Africa,Egypt,0.3
24-Mar-21,Africa,Mauritania,0.05
24-Mar-21,Africa,Sudan,0.25
25-Mar-21,Africa,Tunisia,0.2
25-Mar-21,Africa,Angola,0.2
30-Mar-21,Africa,Zimbabwe,
1-Apr-21,Africa,Ethiopia,0.3
7-Apr-21,Africa,Somalia,
8-Apr-21,Africa,Cameroon,0.2
12-Apr-21,Africa,Somalia,0.2
15-Apr-21,Africa,Mauritius,0.1
18-Apr-21,Africa,Guinea,0.2
19-Apr-21,Africa,Guinea,
20-Apr-21,Africa,Madagascar,
21-Apr-21,Africa,Egypt,
23-Apr-21,Africa,Botswana,0.2
26-Apr-21,Africa,Togo,0.2
26-Apr-21,Africa,Morocco,
29-Apr-21,Africa,South Africa,
30-Apr-21,Africa,Gabon,
30-Apr-21,Africa,Morocco,
6-May-21,Africa,Egypt,0.3
10-May-21,Africa,Morocco,
12-May-21,Africa,Senegal,
13-May-21,Africa,Egypt,
14-May-21,Africa,Senegal,0.3
14-May-21,Africa,Ethiopia,0.1
17-May-21,Africa,Zimbabwe,0.1
19-May-21,Africa,Morocco,
21-May-21,Africa,Egypt,
21-May-21,Africa,Egypt,
23-May-21,Africa,Morocco,
24-May-21,Africa,Mauritius,
25-May-21,Africa,Zambia,0.0136
27-May-21,Africa,Morocco,
29-May-21,Africa,Mauritania,0.28
31-May-21,Africa,Guinea,
2-Jun-21,Africa,Chad,0.2
2-Jun-21,Africa,Zambia,
3-Jun-21,Africa,Mozambique,0.06
7-Jun-21,Africa,Egypt,
11-Jun-21,Africa,Cabo Verde,0.05
16-Jun-21,Africa,Equatorial Guinea,
19-Jun-21,Africa,Morocco,
21-Jun-21,Africa,Ethiopia,0.1
22-Jun-21,Africa,Equatorial Guinea,
23-Jun-21,Africa,Zimbabwe,
23-Jun-21,Africa,Tunisia,
23-Jun-21,Africa,Côte d'Ivoire,0.1
24-Jun-21,Africa,Botswana,
26-Jun-21,Africa,Zimbabwe,
26-Jun-21,Africa,Egypt,
26-Jun-21,Africa,Comoros,
27-Jun-21,Africa,Zambia,
30-Jun-21,Africa,Egypt,
30-Jun-21,Africa,Mozambique,
1-Jul-21,Africa,Comoros,0.1
5-Jul-21,Africa,Mauritius,
6-Jul-21,Africa,Morocco,
6-Jul-21,Africa,Morocco,
6-Jul-21,Africa,Central African Republic,0.15
7-Jul-21,Africa,Central African Republic,-
7-Jul-21,Africa,Egypt,
8-Jul-21,Africa,Zimbabwe,
11-Jul-21,Africa,Algeria,
13-Jul-21,Africa,Morocco,
13-Jul-21,Africa,Tanzania,
14-Jul-21,Africa,Algeria,
17-Jul-21,Africa,Namibia,
17-Jul-21,Africa,Morocco,
23-Jul-21,Africa,Morocco,
24-Jul-21,Africa,Algeria,
24-Jul-21,Africa,Nigeria,0.47
27-Jul-21,Africa,Morocco,
27-Jul-21,Africa,Mauritius,
28-Jul-21,Africa,Mozambique,
28-Jul-21,Africa,Zimbabwe,
28-Jul-21,Africa,Tanzania,
28-Jul-21,Africa,Sudan,0.4
29-Jul-21,Africa,Zimbabwe,
30-Jul-21,Africa,Algeria,
31-Jul-21,Africa,Uganda,0.3
31-Jul-21,Africa,Tanzania,0.1
1-Aug-21,Africa,Egypt,
1-Aug-21,Africa,Morocco,
2-Aug-21,Africa,Libya,
2-Aug-21,Africa,Tunisia,0.4
3-Aug-21,Africa,Morocco,
3-Aug-21,Africa,Libya,
7-Aug-21,Africa,Zambia,0.1
10-Aug-21,Africa,Mozambique,
12-Aug-21,Africa,Rwanda,
13-Aug-21,Africa,Morocco,
18-Aug-21,Africa,Sierra Leone,0.2
19-Aug-21,Africa,Zimbabwe,
19-Aug-21,Africa,Zimbabwe,
19-Aug-21,Africa,Zimbabwe,
20-Aug-21,Africa,Ethiopia,0.2
20-Aug-21,Africa,Lesotho,0.20334
20-Aug-21,Africa,Zimbabwe,
22-Aug-21,Africa,Morocco,
22-Aug-21,Africa,Zimbabwe,
23-Aug-21,Africa,Kenya,
23-Aug-21,Africa,Togo,0.2
23-Aug-21,Africa,Ethiopia,0.3
25-Aug-21,Africa,Zimbabwe,
27-Aug-21,Africa,African Union,
27-Aug-21,Africa,South Sudan,
27-Aug-21,Africa,Uganda,
27-Aug-21,Africa,Malawi,
1-Sep-21,Africa,Guinea-Bissau,0.1
1-Sep-21,Africa,Egypt,
2-Sep-21,Africa,Egypt,
5-Sep-21,Africa,Botswana,
6-Sep-21,Africa,Egypt,
9-Sep-21,Africa,Mauritius,
9-Sep-21,Africa,Angola,
9-Sep-21,Africa,Mauritania,0.2
12-Sep-21,Africa,Angola,
13-Sep-21,Africa,Zimbabwe,
14-Sep-21,Africa,Zimbabwe,
15-Sep-21,Africa,Namibia,
16-Sep-21,Africa,Morocco,
18-Sep-21,Africa,Burkina Faso,0.4
18-Sep-21,Africa,Kenya,0.2
20-Sep-21,Africa,Uganda,
24-Sep-21,Africa,Madagascar,0.3
24-Sep-21,Africa,Morocco,
26-Sep-21,Africa,Zimbabwe,0.5
27-Sep-21,Africa,Tanzania,
28-Sep-21,Africa,Egypt,
29-Sep-21,Africa,Egypt,
29-Sep-21,Africa,Democratic Republic of Congo,0.4
30-Sep-21,Africa,Algeria,
30-Sep-21,Africa,Somalia,
4-Oct-21,Africa,Guinea-Bissau,0.2
4-Oct-21,Africa,Angola,
5-Oct-21,Africa,Egypt,
5-Oct-21,Africa,Egypt,
8-Oct-21,Africa,Tanzania,
10-Oct-21,Africa,Morocco,
14-Oct-21,Africa,Burundi,0.5
15-Oct-21,Africa,Uganda,
17-Oct-21,Africa,Libya,
19-Oct-21,Africa,Uganda,0.7
24-Oct-21,Africa,Ethiopia,0.8
1-Nov-21,Africa,Somalia,
1-Nov-21,Africa,Egypt,2
1-Nov-21,Africa,Tanzania,0.5
1-Nov-21,Africa,Zambia,
26-Nov-21,Africa,Namibia,
29-Nov-21,Africa,Angola,
30-Nov-21,Africa,Zimbabwe,
1-Dec-21,Africa,Djibouti,1.1
5-Dec-21,Africa,Somalia,0.5
12-Dec-21,Africa,Mozambique,1
13-Dec-21,Africa,Niger,0.4
14-Dec-21,Africa,Cameroon,1
15-Dec-21,Africa,Nigeria,
17-Dec-21,Africa,Uganda,
20-Dec-21,Africa,Zimbabwe,1
20-Dec-21,Africa,Uganda,0.6
21-Dec-21,Africa,Mauritania,1
27-Dec-21,Africa,Ethiopia,
1-Jan-22,Africa,Botswana,
7-Jan-22,Africa,Kenya,
12-Jan-22,Africa,Zimbabwe,
12-Jan-22,Africa,Zimbabwe,
12-Jan-22,Africa,Benin,0.5
12-Jan-22,Africa,Rwanda,
20-Jan-22,Africa,Ethiopia,2.2
20-Jan-22,Africa,Egypt,
21-Jan-22,Africa,Congo,0.2
25-Jan-22,Africa,Zambia,0.4
26-Jan-22,Africa,Tanzania,0.8
26-Jan-22,Africa,Mali,0.3
28-Jan-22,Africa,Namibia,
28-Jan-22,Africa,Tanzania,0.2
20-Feb-22,Africa,Egypt,
21-Feb-22,Africa,Egypt,
22-Feb-22,Africa,Tunisia,1.5
2-Apr-22,Africa,Botswana,
2-Apr-22,Africa,Botswana,
20-Apr-22,Africa,Mauritania,1
25-Apr-22,Africa,Zambia,0.6
10-May-22,Africa,Benin,0.5
10-May-22,Africa,Morocco,
12-Jun-22,Africa,Uganda,-
27-Jun-22,Africa,Ethiopia,10
14-Jul-22,Africa,Tanzania,3
8-Aug-22,Africa,Namibia,
22-Aug-22,Africa,Niger,-
23-Sep-22,Africa,São Tomé and Príncipe,0.1
24-Sep-22,Africa,Egypt,10
4-Oct-22,Africa,Egypt,0
4-Oct-22,Africa,Egypt,0
27-Oct-22,Africa,Mali,0.3
25-Nov-22,Africa,Zimbabwe,3
27-Dec-22,Africa,Morocco,-
,Africa,Tunisia,
,Africa,Comoros,
,Africa,Benin,-
,Africa,Egypt,
,Africa,Benin,
,Africa,Cameroon,
,Africa,Egypt,
,Africa,Egypt,
,Africa,Egypt,
,Africa,Egypt,
,Africa,Egypt,
,Africa,Benin,
